ident, source, url, result
8195128,SAPO Desporto,http://desporto.sapo.pt/atletismo/cabo_verde/artigo/2016/01/01/atletismo-cabo-verde-ruben-sanca-vai-ao-jacsonvile-bank-marathon-nos-eua,Downloaded
8195129,Jornal Record,http://www.record.xl.pt/futebol/futebol-nacional/liga-nos/fc-porto/detalhe/exigencias-dos-dragoes-e-excesso-de-pesofazem-atparanaense-desistir-de-walter.html,Downloaded
8195130,Jornal Record,http://www.record.xl.pt/internacional/paises/inglaterra/detalhe/aston-villa-vai-devolver-ilori-ao-liverpool.html,Downloaded
8195131,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/sacos_de_plastico_nas_grandes_superficies_dos_acores_passam_a_ser_pagos_este_ano.html,Downloaded
8195132,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/buscas_na_praia_da_nazare_para_encontrar_homem_desaparecido.html,Bad URL
8195133,Correio da Manhã,http://www.cmjornal.xl.pt/desporto/futebol/detalhe/ronaldo_nem_deus_agradou_a_todos.html,Downloaded
8195134,Renascença,http://rr.sapo.pt/noticia/43128/2016_o_ano_antecipado_por_16_personalidades,Bad URL
8195135,SAPO Desporto,http://desporto.sapo.pt/futebol/primeira_liga/artigo/2016/01/01/luis-filipe-vieira-nao-me-passou-pela-cabeca-contratar-mourinho,Downloaded
8195136,Futebol 365,http://www.futebol365.pt/artigo/144883-banca-de-jornais-o-que-lopetegui-mudou-em-201516-o-jogo/,Bad URL
8195137,Destak,http://www.destak.pt/artigo/252135-sacos-de-plastico-nas-grandes-superficies-dos-acores-passam-a-ser-pagos-este-ano,Downloaded
8195138,Destak,http://www.destak.pt/artigo/252134-buscas-na-praia-da-nazare-para-encontrar-homem-desaparecido,Downloaded
8195139,Jornal de Notícias,http://www.jn.pt/paginainicial/pais/concelho.aspx?Distrito=Leiria&Concelho=Nazar%E9&Option=Interior&content_id=4960469&page=-1,Downloaded
8195140,Jornal de Notícias,http://www.jn.pt/paginainicial/pais/concelho.aspx?Distrito=%C9vora&Concelho=%C9vora&Option=Interior&content_id=4960475&page=-1,Downloaded
8195141,Renascença,http://rr.sapo.pt/noticia/43146/ano_comeca_com_buscas_na_nazare_a_procura_de_homem_desaparecido_no_mar,Bad URL
8195142,RTP,http://www.rtp.pt/noticias/mundo/milhares-de-pessoas-celebraram-entrada-no-novo-ano_v885064,Downloaded
8195143,Lusa,http://noticias.sapo.pt/nacional/artigo/angola-nao-autorizou-acordo-ortografico-a-nenhum-nivel-governamental_20148787.html,Downloaded
8195144,SAPO Desporto,http://desporto.sapo.pt/futebol/primeira_liga/artigo/2016/01/01/domingos-paciencia-nao-acredita-em-invencoes-de-jesus-e-lopetegui,Downloaded
8195145,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/politica/detalhe/governo_afasta_chefias_do_iefp.html,Downloaded
8195146,RTP,http://www.rtp.pt/noticias/mundo/estacoes-de-comboio-de-munique-ja-reabriram-depois-de-suspeita-de-atentado_v885065,Downloaded
8195147,SAPO Desporto,http://desporto.sapo.pt/atletismo/sao_silvestre/artigo/2016/01/01/atletismo-cabo-verde-joao-fortes-vence-s-silvestre-do-porto-novo-pelo-2a-ano-seguido,Downloaded
8195148,Pplware,http://pplware.sapo.pt/jogos/hackers-ja-conseguem-correm-linux-na-playstation-4/,Downloaded
8195149,Renascença,http://rr.sapo.pt/noticia/43146/ano_comeca_com_buscas_na_nazare_ha_um_homem_desaparecido_no_mar,Bad URL
8195150,Futebol 365,http://www.futebol365.pt/artigo/144884-cerca-de-3000-acidentes-e-14-mortos-nas-operacoes-natal-e-ano-novo/,Bad URL
8195151,RTP,http://www.rtp.pt/noticias/desporto/benfica-comprou-segunda-metade-do-passe-de-pizzi-ao-atletico-de-madrid-por-oito-milhoes_v885066,Downloaded
8195152,Jornal Record,http://www.record.xl.pt/futebol/futebol-nacional/liga-nos/sporting/detalhe/slimani-foi-o-melhor-marcador-argelino-de-2015.html,Downloaded
8195153,RTP,http://www.rtp.pt/noticias/galeria/mundo/bem-vindo-2016_885067,Downloaded
8195154,Jornal Record,http://www.record.xl.pt/futebol/futebol-nacional/liga-nos/sporting/detalhe/defesa-central-escoces-apontado-a-alvalade.html,Downloaded
8195155,Diário Economico,http://economico.sapo.pt/noticias/empobrecimento-da-classe-media-de-angola-pode-desencadear-primavera-arabe_238672.html,Downloaded
8195156,O Informador Fiscal,http://www.informador.pt/noticias/F472.019A/Euribor-taxa-a-1-mes-regressa-as-subidas,Bad URL
8195157,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/sociedade/detalhe/nova_lei_do_tabaco_entra_em_vigor.html,Downloaded
8195158,Caras,http://caras.sapo.pt/famosos/2016-01-01-Sandra-Coias-Lido-bem-com-a-solidao,Downloaded
8195159,SAPO Desporto,http://desporto.sapo.pt/futebol/primeira_liga/artigo/2016/01/01/excesso-de-peso-leva-atletico-paranaense-a-devolver-walter-ao-fc-porto,Downloaded
8195160,Diário Economico,http://economico.sapo.pt/noticias/salario-minimo-sobe-hoje-para-530-euros_238674.html,Downloaded
8195161,Jornal de Notícias,http://www.jn.pt/PaginaInicial/Nacional/Saude/Interior.aspx?content_id=4960483&page=-1,Downloaded
8195162,Euronews,http://pt.euronews.com/2016/01/01/lider-norte-coreano-diz-que-respondera-a-agitadores-com-guerra-sagrada/,Downloaded
8195163,Euronews,http://pt.euronews.com/2016/01/01/incencio-em-hotel-de-luxo-em-dubai-causa-16-feridos/,Downloaded
8195164,O Jogo,http://www.ojogo.pt/Modalidades/Atletismo/interior.aspx?content_id=4960490,Downloaded
8195165,O Jogo,http://www.ojogo.pt/Internacional/interior.aspx?content_id=4960489,Downloaded
8195166,Expresso,http://expresso.sapo.pt/desporto/2016-01-01-Havera-em-Portugal-programas-que-falem-de-futebol-so-de-futebol-e-nada-mais-que-futebol-,Downloaded
8195167,Renascença,http://rr.sapo.pt/noticia/43147/nova_lei_do_tabaco_em_vigor_mas_imagens_chocantes_so_aparecem_nos_macos_em_maio,Bad URL
8195168,TeK,http://tek.sapo.pt/extras/site_do_dia/artigo/get_inspired_365_enfrente_o_novo_ano_com_uma_grande_dose_de_inspiracao-45585ztp.html,Bad URL
8195169,SAPO Desporto,http://desporto.sapo.pt/futebol/primeira_liga/artigo/2016/01/01/sporting-interessado-no-defesa-will-vaulks,Downloaded
8195170,zerozero,http://www.zerozero.pt/news.php?id=167388,Non-utf-8 encoding
8195171,Correio da Manhã,http://www.cmjornal.xl.pt/mundo/detalhe/acordo_de_comercio_ue_ucrania_entra_em_vigor.html,Downloaded
8195172,Expresso,http://expresso.sapo.pt/sociedade/2016-01-01-Novos-criterios-para-atribuicao-da-pensao-de-invalidez-entram-hoje-em-vigor,Downloaded
8195173,RTP,http://www.rtp.pt/noticias/pais/sinistralidade-esta-a-aumentar-diz-ministra-da-administracao-interna_a885048,Downloaded
8195174,Expresso,http://expresso.sapo.pt/economia/2016-01-01-Taxa-turistica-aplicada-a-partir-de-hoje-a-quem-pernoita-em-Lisboa,Downloaded
8195175,Diário Economico,http://economico.sapo.pt/noticias/ano-novo-a-ultima-mensagem-de-cavaco-silva_238678.html,Downloaded
8195176,Diário de Notícias,http://www.dn.pt/portugal/interior/buscas-na-praia-da-nazare-para-encontrar-homem-desaparecido-4960485.html?page=-1,Downloaded
8195177,RTP,http://www.rtp.pt/noticias/economia/estados-vao-deixar-de-decidir-falencias-dos-bancos_a885049,Downloaded
8195178,Correio da Manhã,http://www.cmjornal.xl.pt/mundo/detalhe/primeiro_ministro_do_japao_promete_afastar_pais_da_guerra.html,Downloaded
8195180,Exame Informática,http://exameinformatica.sapo.pt/videos/diretolab/2016-01-01-KF-5.5-em-analise,Downloaded
